name_in_input	EFO_URI
Waist:hip ratio	EFO_0004343
Atopic dermatitis	EFO_0000274
Iris color	EFO_0003949
HDL cholesterol	EFO_0004612
Alcohol dependence	EFO_0003829
Conduct Disorder	EFO_0004216
Crohn's disease and Psoriasis	EFO_0000384
Sleep apnea	EFO_0003877
Erectile dysfunction in Type 1 Diabetes	EFO_0001359
Coronary heart disease	EFO_0001645
Gallbladder cancer	EFO_0004606
Common variable immunodeficiency	Orphanet_1572
Creutzfeldt-Jakob disease variant	EFO_0004226
Cognitive performance	EFO_0003926
Huntington's disease	Orphanet_399
Colorectal cancer	EFO_0005842
Coronary artery calcification	EFO_0004723
Thyrotoxic periodic paralysis	Orphanet_79102
Alcohol consumption	EFO_0004329
Airflow obstruction	EFO_0003892
Multiple myeloma	EFO_0001378
Nephropathy	EFO_0003086
Hair morphology	EFO_0005038
Asperger disorder	EFO_0003757
Fibrinogen levels	EFO_0004623
"""Myopia, pathological"""	EFO_0004207
Thyroid cancer	EFO_0002892
Pancreatic adenocarcinoma	EFO_1000044
Narcolepsy with cataplexy	EFO_0000614
Ewing sarcoma	EFO_0000174
Leprosy	EFO_0001054
Lumiracoxib-related liver injury	EFO_0004228
Tardive dyskinesia	EFO_0004280
Lung adenocarcinoma	EFO_0000571
End-stage renal disease	EFO_0003884
Waist circumference	EFO_0004342
Nonalcoholic fatty liver disease	EFO_0003095
Osteoarthritis (knee)	EFO_0002506
Ovarian cancer	EFO_0001075
Intracranial volume	EFO_0004886
Autism spectrum disorders	EFO_0003756
Anorexia nervosa	EFO_0004215
Nephrolithiasis	EFO_0004253
Dupuytren's disease	EFO_0004229
Behcet's disease	EFO_0003780
Hypothyroidism	EFO_0004705
Left ventricular mass	EFO_0003896
Alopecia areata	EFO_0004192
Wilms tumor	Orphanet_654
Idiopathic pulmonary fibrosis	EFO_0000768
Tourette's syndrome	EFO_0004895
Meningioma	Orphanet_2495
Major depressive disorder	EFO_0003761
Thoracic aortic aneurysms and aortic dissections	Orphanet_285014
Sleep duration	EFO_0005271
Response to platinum-based chemotherapy in small-cell lung cancer	EFO_0003060
Body fat percentage	EFO_0007800
Sexual dysfunction (female)	EFO_0004714
Dilated cardiomyopathy	EFO_0000407
Beta-thalassemia/hemoglobin E disease	Orphanet_2133
Crohn's disease and Celiac disease	EFO_0000384
Mammographic density	EFO_0005941
Multiple sclerosis	EFO_0003885
Alzheimer's disease	EFO_0000249
Skin pigmentation	EFO_0003784
Birth weight	EFO_0004344
Moyamoya disease	Orphanet_2573
Restless leg syndrome	EFO_0004270
Non-obstructive azoospermia	EFO_0000279
Malaria	EFO_0001068
Neuroblastoma	EFO_0000621
Atrial fibrillation	EFO_0000275
Retinal vascular caliber	EFO_0004731
Grave's disease	EFO_0004237
Hypertriglyceridemia	EFO_0004530
Spine bone size	EFO_0004508
"""Systemic lupus erythematosus, rheumatoid arthritis"""	EFO_0000685
Response to metformin	GO_1901558
Duodenal ulcer	EFO_0004607
Rheumatoid arthritis	EFO_0000685
Psoriasis	EFO_0000676
Ileal carcinoids	EFO_0004243
Hearing function	GO_0007605
Educational attainment	EFO_0004784
Pericardial fat	EFO_0004564
Myeloproliferative neoplasm	EFO_0004251
Response to lithium treatment in bipolar disorder	EFO_0000289
Myocardial infarction	EFO_0000612
Barrett's esophagus	EFO_0000280
Endometriosis	EFO_0001065
Creutzfeldt-Jakob disease	EFO_0004226
Resting heart rate	EFO_0004351
Pulse pressure	EFO_0005763
Lentiform nucleus volume	EFO_0004913
Renal cell carcinoma	EFO_0000681
Familial hypercholesterolemia	EFO_0004911
Longevity	EFO_0004300
Celiac disease	EFO_0001060
Eye color	EFO_0003949
Hypertension	EFO_0000537
Atopy	EFO_0002686
Thyrotoxic hypokalemic periodic paralysis	Orphanet_79102
Pancreatic cancer	EFO_0002618
Osteoporosis	EFO_0003882
Systemic sclerosis	EFO_0000717
Autism	EFO_0003758
"""Stroke, pediatric"""	EFO_0000712
Thyroid function	EFO_0004296
Venous thromboembolism	EFO_0004286
HIV-1 replication	EFO_0000180
"""Multiple sclerosis, severity"""	EFO_0003885
