Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Data collections
HG00139	male	SAME123060	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00141	male	SAME124395	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00146	female	SAME124390	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00153	female	SAME124594	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG00236	female	SAME123273	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00158	female	SAME124585	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00243	male	SAME123224	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00235	female	SAME124122	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00248	female	SAME123226	GBR	British	EUR	European	1000 Genomes phase 3 release
HG00242	male	SAME123223	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00250	female	SAME123054	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00247	female	SAME123220	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00255	female	SAME123049	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00137	female	SAME123066	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00254	female	SAME123050	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00142	male	SAME124818	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00144	female	SAME124392	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG00259	female	SAME123056	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00147	female	SAME124389	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG00149	male	SAME124387	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00261	female	SAME123583	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00154	female	SAME124587	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00151	male	SAME124592	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00266	female	SAME123576	FIN	Finnish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00159	male	SAME124586	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00156	male	SAME123276	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00273	male	SAME123419	FIN	Finnish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG00173	female	SAME124960	FIN	Finnish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
