disease	efo_iri
prostate-specific antigen (psa)	EFO_0000673
receptive language ability	EFO_0003925
smallpox vaccine cytokine responses	N/A
blood metabolite levels	N/A
platelet rich plasma (prp) colllagen (col)-lta 1 ug/ml	N/A
hypercholesterolemia	HP_0003124
"breast cancer, including in situ"	EFO_0000305
response to antidepressants in major depressive disorder	N/A
psychotic symptoms in prion disease	EFO_0000677
rate of progression in multiple sclerosis (severity score)	EFO_0003885
atrial natriuretic peptide (anp)	EFO_0002503
longevity (females)	EFO_0004300
irritable mania vs control	EFO_0000289
amyloid a serum levels	N/A
adiponectin concentrations (log10(high-molecular-weight adiponectin))	EFO_0000589
blood pressure (age interaction)	EFO_0000537
sickle cell anemia severity	Orphanet_232
pulmonary artery enlargement and chronic obstructive pulmonary disease	EFO_0003822
alcohol dependence without depressive symptoms	EFO_0003829
central corneal thickness in patients with an iop <= 21mmhg and no history of iop>= 21mmhg	N/A
respiratory abnormalities	HP_0002094
beta-amyloid peptide (abeta1-42) in cerebrospinal fliud in mild cognitive impairment subjects	EFO_0000249
white wine liking	EFO_0004329
parkinson's disease (pd)	EFO_0002508
ldl cholesterol by nmrsm	HP_0003124
whole-brain volume in alzheimer's disease	N/A
tooth agenesis (third molar)	Orphanet_99797
c-reactive protein	N/A
acpa-positive rheumatoid arthritis	EFO_0000685
dilated cardiomyopathy	EFO_0000407
tragus size	N/A
lung cancer in smokers (pack years of smoking >25)	EFO_0001071
response to efavirenz-containing treatment in hiv 1 infection (virologic failure)	N/A
total adipose tissue (abdominal)	EFO_0001073
blue vs. green eyes	EFO_0003949
pediatric inflammatory bowel disease	EFO_0003767
apoa1 assay lipoprotein fraction concentration in fasting sample	N/A
plasma plasminogen activator levels	N/A
lung cancer (adenocarcinoma)	EFO_0001071
attention deficit-hyperactivity disorder (adhd) hyperactive-impulsive subtype	EFO_0003888
systolic blood pressure (sbp) in normotensives	EFO_0000537
total hip bone mineral density (bmd) (postmenopausal females)	N/A
rheumatoid arthritis	EFO_0000685
heart rate in non-diabetics (t2d)	HP_0001649
positivity for znt8a in type 1 diabetes	EFO_0001359
biploar disorder (bipolar i disorder)	EFO_0000289
irinotecan-related severe toxicities in treatment of non-small-cell lung cancer (grade 4 neutropenia)	EFO_0000000
maximum heart rate during treadmill fitness test (beats/min) in children	N/A
c-reactive protein [log (mg/l)]	N/A
topiramate plasma level change in healthy volunteers in response to topiramate treatment	EFO_0000000
hdl cholesterol change with statins	Orphanet_425
risperidone response in schizophrenia treatment	N/A
hair morphology (adolescent)	N/A
cortisol secretion (cortisol auc in females)	N/A
amyotrophic lateral sclerosis (als) with >2 c9orf72 hexanucleotide repeats	EFO_0000253
type 2 diabetes in never smokers	EFO_0001360
aging traits	GO_0007568
obesity (early onset extreme)	N/A
schizophrenia and other psychotic disorders	N/A
serum phytosterol (sitosterol)	N/A
cleft plate (environmental tobacco smoke interaction)	HP_0000175
lp-pla2 activity	EFO_0000319
nicotine dependence (smoking)	EFO_0003768
breast cancer (familial breast cancer)	EFO_0000305
gastric cancer (noncardia)	EFO_0003897
gastric cardia cancer	EFO_0003897
alanine aminotransferase (alt) elevation due to lapatinib treatment of metastatic breast cancer	EFO_0004228
response to anti-tnf therapy in patients with rheumatoid arthritis (relative change in 28-joint count disease activity score)	N/A
adult attention-deficit/hyperactivity disorder (adhd)	EFO_0003888
cholesterol	HP_0003124
multiple sclerosis (severity)	EFO_0003885
hdl cholesterol by nmr	N/A
"osteoporosis, osteopenia, & pathological fractures"	EFO_0002461
general cognitive ability	EFO_0003925
hiv-1 seropositive nonprogression	EFO_0000765
acquired nephrotic syndrome	EFO_0004255
testicular dysgenesis syndrome (cryptorchidism subphenotype)	HP_0000133
late rectal bleeding following radiation therapy for prostate cancer	EFO_0000000
end-stage renal disease (non-type 2 diabetes mellitus)	EFO_0003884
ovarian cancer	EFO_0001075
urethral stricture (not specified as infectious)	N/A
newborn head circumference	N/A
methylation near pdk3 in cerebellum	GO_0006306
chemosensitivity to targeted regimes in metastatic colorectal cancer (cetuximabfu/leucovorin___ regime)	N/A
peripheral autonomic neuropathy	Orphanet_1764
vitamin k % undercarboxylated osteocalcin	HP_0011892
celiac disease	EFO_0001060
gamma-tocopherol plasma levels	EFO_0005878
type 2 diabetes with cataracts	EFO_0001059
narcolepsy with cataplexy	EFO_0000614
bone mineral density (spine)	N/A
non-cardia gastric cancer	EFO_0003897
nicotine use	EFO_0003768
soluble leptin receptor levels	EFO_0000400
thyroid hormone levels	HP_0000820
vitamin d concentrations (25-hydroxy vitamin d concentrations)	EFO_0003762
serum testosterone concentrations in men	EFO_0001379
response to irinotecan in non-small-cell lung cancer	N/A
carotid intima-media thickness (imt)	EFO_0003781
bone mineral content (kg) in children	N/A
controlled word association test (cowa)	EFO_0003925
bmi in adolescence/young adulthood	N/A
adverse response to radiation therapy	EFO_0000000
irritable bowel syndrome	EFO_0000555
bipolar disorder	EFO_0000289
"mean cell hemoglobin concentration (mchc), basophil count, hemoglobin (hgb), platelet count (plt), mean cell hemoglobin (mch)"	EFO_0005803
menarche (age at onset)	HP_0000823
diabetic nephropathy	EFO_0000401
arterial stiffness	EFO_0003914
digit span backward	EFO_0003925
tetra-antennary glycans in women	GO_0070085
diastolic blood pressure (dbp)	EFO_0000537
mathematical ability in children with dyslexia	EFO_0004337
medication adherence in chronic diseases	N/A
non-alcoholic fatty liver disease histology (lobular)	EFO_0003095
alzheimer's disease (apoe4 homozygotes)	EFO_0000249
oxaliplatin induced diarrhea in response to colorectal cancer treatment	EFO_0000000
common variable immunodeficiency (gi enteropathy)	Orphanet_1572
height change (cm/y) in children	N/A
fasting serum interleukin-6 (il-6) (pg/ml) in children	N/A
urinary symptoms in response to radiotherapy in prostate cancer	EFO_0000000
celiac disease or rheumatoid arthritis	EFO_0000540
serum unknown	N/A
response to serotonin reuptake inhibitors in non-psychotic unipolar depression	N/A
vitiligo	EFO_0004208
"schizophrenia, bipolar disorder and depression (combined)"	EFO_0000692
pain relief in opioid therapy for cancer	EFO_0003843
hepatitis c induced liver fibrosis	EFO_0003047
factor xiii a subunit	Orphanet_331
plasma amyloid beta peptide concentrations (abx-42)	EFO_0000249
secondary malignant neoplasm of liver	N/A
blond vs non-blond hair color	EFO_0003924
hdl-cholesterol	Orphanet_425
carotid atherosclerosis (cad) in hiv-infected men (internal carotid intima media thickness (imt))	EFO_0003781
breast cancer risk (triple negative breast cancer)	EFO_0000305
ldl cholesterol response to statins (fractional change in ldl cholesterol)	N/A
"drug-induced liver injury-all dili cases with beta-lactam antibiotics implicated, exclusive of flucloxacillin and amoxicillin/clavulanate"	EFO_0004228
post-exercise 3 minute recovery heart rate	HP_0001649
drug-induced liver injury-all dili cases with nitrofurantoin as the implicated drug	EFO_0004228
methylation near flj35695 in cerebellum	GO_0006306
aortic dissection	N/A
paclitaxel-induced sensory peripheral neuropathy	EFO_0000000
cognitive response of healthy volunteers to topiramate treatment as measure by the symbol search cognitive test	EFO_0000000
insulin sensitivity index	EFO_0002614
inflammatory and toxic neuropathy	N/A
visceral disease severity in n370s homozygous gaucher disease	Orphanet_355
response to platinum-based agents	N/A
ovarian cancer (serous type)	EFO_0001075
nicotine dependence (smoking) (females)	EFO_0003768
mean thyroid stimulating hormone (tsh)	HP_0000820
negative/disorganized symptoms of schizophrenia	EFO_0000692
type 2 diabetic neuropathy	EFO_0003100
decrease in fev1 (in nonasthmatic participants >=30 years old)	EFO_0003818
appendicular lean mass-appendicular bone size (bivariate)	EFO_0003882
retinal detachments and defects	EFO_0005773
glycemic control (repeated daily glucose) in type 1 diabetics	EFO_0001359
kell system antigen	EFO_0000513
lung cancer with age >60	EFO_0001071
antibody titer to hepatitis b vaccination	N/A
self employment (entrepreneurship) in females	N/A
vessel occlusion stroke	EFO_0000712
serum thyroid-stimulating hormone levels	HP_0000820
antennary fucosylated glycans in women	GO_0070085
maternal imprinting effects on cleft lip	EFO_0003959
neuroticism	EFO_0004257
hiv-1 disease progression	EFO_0000764
b-type natriuretic peptide	N/A
waist hip ratio in controls	N/A
methylation near znf300 in cerebellum	GO_0006306
mood disorders	EFO_0004247
idiopathic dilated cardiomyopathy	EFO_0000407
multiple sclerosis severity scale (extreme)	EFO_0003885
cognitive response of healthy volunteers to topiramate treatment as measure by the digit span forward cognitive test	EFO_0000000
femoral neck bone mineral density (bmd)	N/A
replication of hiv-1 in monocyte-derived macrophages	EFO_0000764
pc2 (reflecting high to low frequency slope)	N/A
drotrecogin alfa treatment response to severe sepsis	N/A
handedness	EFO_0003889
alcohol behavior (alcohol use disorder factor score)	EFO_0003829
response to inhaled glucocorticoid treatment in asthma (percentage change of fev1)	N/A
alcohol consumption (female)	EFO_0004329
major depressive disorder (females)	EFO_0003761
chemosensitivity to targeted regimes in metastatic colorectal cancer (cetuximabfu/leucovorin____ regime)	N/A
late onset alzheimer's disease	EFO_0000249
chronic obstructive pulmonary disease (severe)	EFO_0000341
subdural hemorrhage (injury)	N/A
primary angle-closure glaucoma	N/A
reproductive lifespan in women	N/A
bipolar disorder or major depressive disorder (combined)	N/A
localized aggressive periodontitis	EFO_0000649
cardiovascular disease prevalence	EFO_0000319
serum total protein level	N/A
cough in response to angiotensin-converting enzyme inhibitor drugs	EFO_0000000
"osteoarthritis (hand, severe)"	EFO_0002506
nerve root lesions	HP_0000759
platelet rich plasma (prp) arachidonic acid (aa)-lta 1 mm	N/A
adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide____5fu)	EFO_0000000
autism without verbal ability	EFO_0003758
cerebrospinal fluid (csf) amyloid-beta (ab42)	EFO_0000249
conduct disorder (symptom count)	EFO_0004216
psoriasis and/or psoriatic arthritis	EFO_0000676
quantitative broadband ultrasound attentuation of the calcaneus	N/A
clozapine-induced cytotoxicity	EFO_0000000
platelet rich plasma (prp) epinephrine (epi)-secretion 10 um	N/A
"vitamin d, vitamin k phylloquinone, vitamin k % undercaboxylated osteocalcin"	EFO_0003762
antipsychotic-induced parkinsonism severity among schizophrenia patients	N/A
acute interstitial lung disease in gefitinib-treated non-small cell lung cancer	EFO_0003818
lobe attachment	N/A
fasting c-peptide (ng/ml) in children	N/A
congenital left-sided heart lesions	N/A
hearing function	N/A
suicide risk	EFO_0004321
"systolic blood pressure (sbp), 24 hour mean excluding subjects on antihypertensive treatment"	EFO_0000537
serum phytosterol normalized to cholesterol	N/A
"amyotrophic lateral sclerosis (als), bulbar onset"	EFO_0000253
skin cancer	EFO_0004198
hepatocyte ballooning in nonalcoholic fatty liver disease	EFO_0003095
glycated hemoglobin (repeated hba1c) in type 1 diabetics	EFO_0001359
striae gravidarum (stretch marks during pregnancy)	HP_0001065
political preferences (feminism / equality )	N/A
airflow obstruction-never smokers	N/A
alpha-tocopherol plasma levels	EFO_0005878
ratio of free to total prostate-specific antigen  (psa)	EFO_0000673
beta thalassemia/hemoglobin e disease	Orphanet_848
response to anti-depressant treatment in major depressive disorder	N/A
hemoglobin	EFO_0004272
parkinson's disease (age of onset)	EFO_0002508
white matter integrity (interaction)	HP_0002352
macronutrient intake: fat	EFO_0003939
sudden death suicides vs. controls who died from other causes	N/A
spine bone mineral density (bmd) (males)	N/A
emergence of suicidal ideation during treatment with antidepressants	EFO_0000000
"nicotine dependence (smoking), duration as smoker"	EFO_0003768
waist circumference (mean)	N/A
"alzheimer's disease (assessment scale, cognitive subscale)"	EFO_0000249
premature ovarian failure	HP_0008222
"platelet aggregation to collagen, in european ancestry, post-aspirin adjusted for pre-aspirin"	HP_0004936
beta-thalassemia/hemoglobin e disease (severity)	Orphanet_848
poisoning by anticonvulsants and anti-parkinsonism drugs	EFO_0000000
aging	EFO_0004300
multiple sclerosis (males)	EFO_0003885
alanine aminotransferase levels	EFO_0003934
cardiac shunt/ heart septal defect	N/A
osteoporotic fracture	EFO_0003882
serum triglycerides levels (males)	EFO_0004211
kidd system jka antigen	EFO_0000513
diffuse diseases of connective tissue	N/A
optic nerve measurement (cup area)	N/A
"hip geometry, neck width"	EFO_0003882
il1ra	EFO_0000540
absent or infrequent menstruation	EFO_0000000
alzheimer's disease with psychotic symptoms (alzheimer's disease with psychotic symptoms v. controls)	EFO_0000677
"eosinophil count, lymphocyte count, mean cell hemoglobin (mch), platelet count (plt), mean cell volume (mcv)"	EFO_0005803
bipolar disorder and major depressive disorder	N/A
subarachnoid hemorrhage	EFO_0000713
mean bilateral hippocampal volume	N/A
cognitive function	N/A
apob (apolipoprotein b)	N/A
althete's foot	EFO_0007512
mood disorder	EFO_0004247
sensory disturbances after bilateral sagittal split ramus osteotomy	N/A
major depressive disorder (narrow definition)	EFO_0003761
"nicotine dependence (smoking), quantity"	EFO_0003768
very long-chain saturated fatty acid levels (fatty acid 22:0)	N/A
amyotrophic lateral sclerosis (als) (early age of onset)	EFO_0000253
renal cell carcinoma	EFO_0000681
"brain mri, hippocampal volume"	N/A
breast cancer (menopausal hormone therapy interaction)	EFO_0000305
bone disease severity in n370s homozygous gaucher disease	Orphanet_355
agreeableness (male)	HP_0012075
coronary artery disease (cad)	EFO_0000378
cardiovascular disease	EFO_0000319
urine potassium	HP_0002153
seborrheic keratosis	EFO_0005584
percent body fat	EFO_0001073
platelet count (plt) (10^9/l)	N/A
serum free thyroxine	HP_0000820
hdl cholesterol (female)	Orphanet_425
5-hydroxyindoleacetic acid (hiaa)	EFO_0000618
breast cancer risk (in brca1 mutation carriers)	EFO_0000305
glaucoma (primary open-angle glaucoma)	EFO_0004190
common variable immunodeficiency (lymphoma)	Orphanet_1572
"nicotine dependence (smoking), smoking cessation (nicotine replacement therapy)"	EFO_0004319
memory loss	N/A
infections of kidney	EFO_1001141
adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)	EFO_0000000
multiple myeloma (igh translocation)	EFO_0001378
common carotid artery intima media thickness (imt)	EFO_0003781
major depressive disorder (latent class one)	EFO_0003761
